DOY,GEE
37424,-0.5401545
37425,-0.3557027
37426,-0.6155611
37427,-0.3436054
37428,-0.5262762
37429,-0.5655785
37430,-0.6864934
37431,-0.4875531
37432,-0.5613456
37433,-0.5776582
37434,-0.602725
37435,-0.4880078
37436,-0.4659596
37437,-0.5207381
37438,-0.5834703
37439,-0.6210071
37440,-0.6145946
37441,-0.5909844
37442,-0.8115299
37443,-0.7157567
37444,-0.5363812
37445,-0.5987747
37446,-0.7921649
37447,-0.7988778
37448,-0.7937683
37449,-0.938407
37450,-0.8631804
37451,NaN
37452,-0.171376
37453,-0.1439403
37454,-0.2150488
37455,-0.5164864
37456,-0.4483869
37457,-0.4545931
37458,-0.5395455
37459,-0.76217
37460,-0.6954743
37461,-0.5321916
37462,-0.810235
37463,-0.6509868
37464,-0.7540973
37465,-0.4525144
37466,-0.454676
37467,-0.3852499
37468,-0.573837
37469,-0.4968758
37470,-0.3108001
37471,-0.3926926
37472,-0.7780455
37473,-0.4692078
37474,-0.3473904
37475,-0.937054
37476,-0.7208886
37477,-0.5538244
37478,-0.6492185
37479,-0.5805651
37480,-0.5938886
37481,-0.3521029
37482,-0.6117396
37483,-1.203103
37484,-0.3152598
37485,-0.3140759
37486,-0.2935723
37487,-0.2461579
37488,-0.3629456
37489,-0.2057808
37490,-0.2531925
37491,-0.1827333
37492,-0.2307893
37493,-0.2013593
37494,-0.2065162
37495,-0.2421565
37496,-0.3618122
37497,-0.1956405
37498,-0.5996085
37499,-0.2898976
37500,-0.2712932
37501,-0.3400826
37502,-0.3153083
37503,-0.4890835
37504,-0.3754969
37505,-0.3867522
37506,-0.2355492
37507,-0.3018092
37508,-0.4198032
37509,-0.3487653
37510,-0.295902
37511,-0.5432603
37512,-0.6073133
37513,-0.6402069
37514,-0.4607044
37515,-0.468472
37516,-0.5433196
37517,-0.5786773
37518,-0.7169373
37519,-0.8626252
37520,-0.4705661
37521,-0.5984179
37522,-0.7251104
37523,-0.5492482
37524,-0.6346207
37525,-0.3409939
37526,-0.3399158
37527,-0.3503164
37528,-0.2236505
37529,-0.1934915
37530,-0.1773562
37531,-0.417652
37532,-0.2927268
37533,-0.2867938
37534,-0.3766159
37535,-0.3528513
37536,-0.3583267
37537,-0.301429
37538,-0.2221265
37539,-0.2980151
37540,-0.3487891
37541,-0.4520275
37542,-0.5488662
37543,-0.4048835
37544,-0.5025559
37545,-0.3691157
37546,-0.4406383
37547,-0.5102072
37548,-0.4083251
37549,-0.3684952
37550,-0.5151621
37551,-0.3125414
37552,-0.3145232
37553,-0.324969
37554,-0.4448001
37555,-0.3053531
37556,-1.383366
37557,-1.522605
37558,-1.372506
37559,-1.216821
37560,-1.223286
37561,-1.009807
37562,-1.41508
37563,-1.30256
37564,-0.9283653
37565,-1.099998
37566,-0.5410369
37567,-1.124862
37568,-0.3795264
37569,-0.2510094
37570,-0.235028
37571,-1.396602
37572,-0.9038579
37573,-1.483816
37574,-1.749665
37575,-1.49115
37576,-0.8860981
37577,-1.260671
37578,-1.382643
37579,-1.89068
37580,-2.580853
37581,-2.313424
37582,-1.596735
37583,-1.245398
37584,-2.16879
37585,-2.100199
37586,-1.477511
37587,-1.525273
37588,-1.524976
37589,-0.9234201
37590,-1.700162
37591,-1.768417
37592,-1.742326
37593,-1.573069
37594,-1.583552
37595,-1.380003
37596,-1.284309
37597,-1.634047
37598,-0.8783602
37599,-3.803604
37600,-1.223448
37601,-1.319743
37602,-1.370787
37603,-3.282434
37604,-0.6736802
37605,-1.326174
37606,-1.184445
37607,-1.37772
37608,-1.202464
37609,-1.180818
37610,-1.209017
37611,-1.440941
37612,-1.313945
37613,-1.42459
37614,-1.394761
37615,-1.43695
37616,-0.7676776
37617,-0.9901246
37618,-0.9924862
37619,-0.8429084
37620,-0.7530267
37621,-1.636959
37622,-1.233398
37623,-1.878555
37624,-1.650108
37625,-1.56078
37626,-1.568885
37627,-1.297997
37628,-1.431377
37629,-1.731825
37630,-1.607248
37631,-1.914648
37632,-1.679112
37633,-2.119149
37634,-1.586851
37635,-2.023804
37636,-2.063648
37637,-1.73148
37638,-1.421905
37639,-1.134484
37640,-1.052194
37641,-1.422899
37642,-1.600824
37643,-2.034527
37644,-2.236679
37645,-1.982867
37646,-1.820762
37647,-2.386726
37648,-1.951363
37649,-2.582731
37650,-3.475297
37651,-3.965041
37652,-1.597183
37653,-1.88054
37654,-2.087619
37655,-2.094894
37656,-2.257509
37657,-2.513286
37658,-1.809888
37659,-2.122623
37660,-1.828945
37661,-2.219806
37662,-1.750267
37663,-1.915632
37664,-1.831412
37665,-1.892735
37666,-2.903216
37667,-2.712441
37668,-3.337689
37669,-3.464172
37670,-1.335428
37671,-2.203421
37672,-2.962354
37673,-3.086972
37674,-3.692802
37675,-1.944927
37676,-3.421882
37677,-3.208683
37678,-2.782212
37679,-3.053886
37680,-3.003164
37681,-3.921294
37682,-3.367276
37683,-3.715666
37684,-3.787396
37685,-3.66663
37686,-3.016661
37687,-3.603798
37688,-3.808598
37689,-4.314296
37690,-3.410232
37691,-4.406231
37692,-4.180179
37693,-4.534989
37694,-4.381002
37695,-3.668427
37696,-3.93849
37697,-4.212581
37698,-4.849289
37699,-4.865306
37700,-4.31561
37701,-4.737451
37702,-3.69164
37703,-4.441227
37704,-4.784186
37705,-4.780556
37706,-4.611156
37707,-4.559722
37708,-4.700125
37709,-4.851137
37710,-5.37776
37711,-3.517953
37712,-3.869572
37713,-4.145933
37714,-2.517029
37715,-3.905678
37716,-4.312118
37717,-4.185048
37718,-4.936344
37719,-5.782337
37720,-5.225991
37721,-4.975019
37722,-4.53502
37723,-4.589224
37724,-4.562333
37725,-4.269544
37726,-4.414819
37727,-3.834342
37728,-4.278625
37729,-4.27264
37730,-3.906186
37731,-3.872031
37732,-4.041362
37733,-3.866869
37734,-4.071285
37735,-3.468563
37736,-4.406468
37737,-4.127199
37738,-4.697341
37739,-4.438184
37740,-4.058495
37741,-5.097831
37742,-3.366991
37743,-4.816254
37744,-4.786568
37745,-4.681015
37746,-4.566499
37747,-3.971322
37748,-3.399983
37749,-4.356627
37750,-3.939044
37751,-4.127597
37752,-4.355138
37753,-5.456559
37754,-5.360503
37755,-5.70788
37756,-4.660902
37757,-3.918496
37758,-3.953248
37759,-3.778344
37760,-4.417842
37761,-3.715929
37762,-4.044431
37763,-4.066688
37764,-4.507732
37765,-4.244288
37766,-4.043986
37767,-3.65438
37768,-3.74657
37769,-3.532481
37770,-3.421822
37771,-1.615799
37772,-1.717107
37773,-1.753434
37774,-1.271724
37775,-1.412175
37776,-1.337993
37777,-1.257708
37778,-0.9786996
37779,-1.4357
37780,-1.135029
37781,-1.086579
37782,-1.063934
37783,-0.8841621
37784,-1.100075
37785,-1.183112
37786,-0.5628596
37787,-0.4572137
37788,-0.7408435
37789,-0.9076149
37790,-0.5490196
37791,-0.9516312
37792,-0.4807356
37793,-0.6353952
37794,-0.5682103
37795,-0.5186325
37796,-0.4420965
37797,-0.5752501
37798,-0.7123172
37799,-0.7597056
37800,-0.7466407
37801,-0.7440844
37802,-0.5680346
37803,-0.5365434
37804,-0.3749325
37805,-0.5605634
37806,-0.5285884
37807,-0.5448771
37808,-0.4858477
37809,-0.4525069
